step,max_kl,lr,steps,reward_mean,value_mean,ret_mean,adv_mean,explained_variance,rollout_end_time,value_loss,policy_loss,final_policy_loss,i_scale,kl,entropy,gd_time,total_time
104,0.01,0.001,600,-0.253755,-8.60909,-8.92346,-0.314123,0.981599,0.0502121,1.93477,0.311736,0.306518,0,0.00839806,0.996916,7.89584,1491.9
105,0.01,0.001,600,-0.23565,-8.43821,-8.37953,0.0570254,0.987887,0.056169,1.45325,-0.0506714,-0.052189,1,0.00237433,0.983181,7.78216,1503.04
106,0.01,0.001,600,-0.245897,-8.70217,-8.78986,-0.0875121,0.986359,0.0518663,1.26194,0.0909493,0.088411,0,0.00808,0.973673,8.34034,1514.89
107,0.01,0.001,600,-0.232564,-8.71967,-8.44755,0.271596,0.985484,0.0505662,8.6571,-0.0822458,-0.0897626,0,0.00866119,0.988951,8.19946,1526.66
108,0.01,0.001,600,-0.225699,-8.20825,-7.98356,0.223932,0.987125,0.0579755,2.45086,-0.153914,-0.156028,1,0.0023858,0.963842,8.72403,1539.06
109,0.01,0.001,600,-0.249909,-8.45328,-8.80155,-0.348881,0.982419,0.0560541,2.07387,0.390053,0.384119,0,0.00786721,0.985442,8.19892,1550.73
110,0.01,0.001,600,-0.242114,-8.59719,-8.6066,-0.0104887,0.986263,0.0527775,1.51669,-0.00280785,-0.00655918,0,0.00958512,0.942522,7.72002,1563.03
111,0.01,0.001,600,-0.230671,-8.152,-8.13319,0.0177269,0.9849,0.0585728,3.59686,0.120905,0.115989,0,0.00964891,0.96279,13.2332,1580.02
112,0.01,0.001,600,-0.232798,-8.33743,-8.27529,0.0626533,0.987057,0.0569313,1.2635,-0.0378913,-0.0432409,0,0.00830927,0.949796,7.68886,1591.01
113,0.01,0.001,600,-0.238478,-8.69327,-8.66183,0.0309079,0.989543,0.0517578,1.2504,-0.0622816,-0.06497,0,0.00894767,0.930948,8.0118,1602.43
114,0.01,0.001,600,-0.240216,-8.64899,-8.59754,0.0516195,0.989233,0.0540962,1.19032,-0.0386897,-0.0414703,0,0.00867012,0.937076,7.9512,1614.31
115,0.01,0.001,600,-0.241773,-8.6312,-8.67056,-0.0399289,0.990831,0.0538256,1.17368,0.0568528,0.0542987,0,0.00781646,0.92838,8.51976,1626.32
